trial_id,title,status,phase,enrollment,enrollment_type,study_type,sponsor,sponsor_class,eligibility_words,start_date,completion_date
NCT00336700,A Phase II Study of Gemcitabine and Erlotinib As Adjuvant Therapy In Patients With Resected Pancreatic Cancer,TERMINATED,PHASE2,25.0,,INTERVENTIONAL,"Herbert J. Zeh, III MD, FACS",,382,2006-06,
NCT01935492,8 Continuous vs 8 Intermittent Cycles in First and Second Line in HER2/Neu Neg Metastatic Breast Cancer,COMPLETED,PHASE3,420.0,,INTERVENTIONAL,Borstkanker Onderzoek Groep,,441,2010-11,
NCT06130436,Application of Perioperative Remote Ischemic Conditioning in Patients Undergoing Hepatectomy,COMPLETED,NA,135.0,,INTERVENTIONAL,The Second Affiliated Hospital of Chongqing Medical University,,149,2023-11-02,
NCT02890511,"A Study DHP107, a Novel Oral Paclitaxel Formulation, in Patients With Advanced Solid Tumours or Gastric Cancer",COMPLETED,"PHASE1, PHASE2",28.0,,INTERVENTIONAL,"Daehwa Pharmaceutical Co., Ltd.",,353,2010-08,
NCT04544111,PDR001 Combination Therapy for Radioiodine-Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,PHASE2,19.0,,INTERVENTIONAL,Memorial Sloan Kettering Cancer Center,,1662,2020-09-02,
NCT02269111,Quantitative MRI in Assessing Disease in Patients With Brain Tumors,TERMINATED,NA,10.0,,INTERVENTIONAL,Vanderbilt-Ingram Cancer Center,,224,2015-04,
NCT00416871,Interleukin-2 and Interferon in Treating Patients With Metastatic Kidney Cancer,COMPLETED,PHASE3,220.0,,INTERVENTIONAL,Centre Leon Berard,,279,,
NCT00344071,Pilot Study of Inflammatory Breast Cancer in Egypt and Tunisia,COMPLETED,,250.0,,OBSERVATIONAL,National Cancer Institute (NCI),,48,2004-09-08,
NCT00100971,Vaccine Therapy in Treating Patients With Acute Myeloid Leukemia,TERMINATED,PHASE1,9.0,,INTERVENTIONAL,Boston Medical Center,,133,2004-04,
NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,COMPLETED,PHASE2,93.0,,INTERVENTIONAL,National Cancer Institute (NCI),,393,2005-06,
NCT03756311,Expanded Access to NanoPac,NO_LONGER_AVAILABLE,,,,EXPANDED_ACCESS,"NanOlogy, LLC",,6,,
